Batch,FusNeo_Count_1,FusNeo_Count_2,Metric,T-Statistic,P-Value,Significance
Batch_1,1,2,S_ICR_ACT_SCORE,-1.917863699580891,0.05624084259031453,ns
Batch_1,1,2,S_Angiogenesis,-0.3040981203935546,0.7613001723749183,ns
Batch_1,1,2,S_APM1,-1.9084733474683537,0.057448496032442335,ns
Batch_1,1,2,S_APM2,0.3007498252858263,0.7638493795294412,ns
Batch_1,1,2,S_ICS5_score,-0.4829786748673354,0.6295236523151411,ns
Batch_1,1,2,S_LIexpression_score,-0.557204760564468,0.5778743784934463,ns
Batch_1,1,2,S_Chemokine12_score,-1.9741721257553715,0.04943710357143294,*
Batch_1,1,2,S_NHI_5gene_score,-2.8053939605785754,0.005411276615112219,*
Batch_1,1,2,S_CD68,0.7786032940488685,0.43693251047204695,ns
Batch_1,1,2,S_CD8A,-1.1496054133342493,0.25137928094551226,ns
Batch_1,1,2,S_PD1_data,-1.3432336314316269,0.18038589102353325,ns
Batch_1,1,2,S_PDL1_data,-2.103401858007456,0.036406627677041295,*
Batch_1,1,2,S_PD1_PDL1_score,-1.8963658450790164,0.05903752969176869,ns
Batch_1,1,2,S_CTLA4_data,-1.077000896220631,0.28249372259217564,ns
Batch_1,1,2,S_Bcell_mg_IGJ,0.0018623982834510698,0.9985154724642897,ns
Batch_1,1,2,S_Bcell_receptors_score,-0.10608596674111984,0.9155972258628033,ns
Batch_1,1,2,S_STAT1_score,-1.9600894047545627,0.0510700372528674,ns
Batch_1,1,2,S_CSF1_response,-0.8278766348440593,0.4085114629611982,ns
Batch_1,1,2,S_TcClassII_score,-0.5823281281176889,0.5608581919533197,ns
Batch_1,1,2,S_IL12_score_21050467,-1.844907323697235,0.06620606760784144,ns
Batch_1,1,2,S_IL4_score_21050467,-1.9346073342403058,0.054140268304684255,ns
Batch_1,1,2,S_IL2_score_21050467,-2.475751013008129,0.013943192973629425,*
Batch_1,1,2,S_IL13_score_21050467,-1.2582830752472143,0.20943578806456206,ns
Batch_1,1,2,S_IFNG_score_21050467,-2.7513860677434567,0.006358340307943071,*
Batch_1,1,2,S_TGFB_score_21050467,-1.280505261554701,0.20152645926186807,ns
Batch_1,1,2,S_TREM1_data,-0.3548353690528998,0.7230050715516546,ns
Batch_1,1,2,S_DAP12_data,0.16208898343439587,0.8713636413025327,ns
Batch_1,1,2,S_Tcell_receptors_score,-0.5285182609465156,0.5975975614676865,ns
Batch_1,1,2,S_IL8_21978456,-0.6723249733327178,0.5019831856347572,ns
Batch_1,1,2,S_IFN_21978456,-2.941602725510477,0.00356428890644364,*
Batch_1,1,2,S_MHC1_21978456,0.10420480093043716,0.9170884157581995,ns
Batch_1,1,2,S_MHC2_21978456,-0.3422747069377201,0.7324250052428846,ns
Batch_1,1,2,S_Bcell_21978456,-0.45094251941511077,0.6524126964961026,ns
Batch_1,1,2,S_Tcell_21978456,-1.6207478011004508,0.10630278835367009,ns
Batch_1,1,2,S_CD103pos_mean_25446897,-1.7173313318785561,0.08712801142479525,ns
Batch_1,1,2,S_CD103neg_mean_25446897,-0.8381397096650518,0.4027340969592046,ns
Batch_1,1,2,S_IgG_19272155,-0.5370708137437216,0.5916851769694391,ns
Batch_1,1,2,S_Interferon_19272155,-3.103236515308172,0.002128858161004242,*
Batch_1,1,2,S_LCK_19272155,-1.1482679649015397,0.251929792280579,ns
Batch_1,1,2,S_MHC.I_19272155,-0.06650272135955257,0.9470294976915443,ns
Batch_1,1,2,S_MHC.II_19272155,-1.2290483665611351,0.22018219335843223,ns
Batch_1,1,2,S_STAT1_19272155,-2.8338086944113643,0.004966209367345554,*
Batch_1,1,2,S_Troester_WoundSig_19887484,-1.6319609971494013,0.10391715750539257,ns
Batch_1,1,2,S_MDACC.FNA.1_20805453,-1.1966993582791459,0.23253082338855297,ns
Batch_1,1,2,S_IGG_Cluster_21214954,-0.9136069977263291,0.3617830223692776,ns
Batch_1,1,2,S_Minterferon_Cluster_21214954,-2.877944154543432,0.004340603164456494,*
Batch_1,1,2,S_Immune_cell_Cluster_21214954,-1.274142715154638,0.2037682962760225,ns
Batch_1,1,2,S_MCD3_CD8_21214954,0.07406842640965731,0.941013780408828,ns
Batch_1,1,2,S_Interferon_Cluster_21214954,-2.698167814244671,0.007435869577629609,*
Batch_1,1,2,S_B_cell_PCA_16704732,-1.482328684485033,0.13948277852392563,ns
Batch_1,1,2,S_CD8_PCA_16704732,-0.48592509388035215,0.6274359353310057,ns
Batch_1,1,2,S_GRANS_PCA_16704732,-2.612959265610485,0.009507186729926922,*
Batch_1,1,2,S_LYMPHS_PCA_16704732,1.8531210361423118,0.0650156575531464,ns
Batch_1,1,2,S_T_cell_PCA_16704732,-1.8017800745311758,0.07275645313892999,ns
Batch_1,1,2,S_TGFB_PCA_17349583,-0.7560761811707841,0.45029868617062496,ns
Batch_1,1,2,S_Rotterdam_ERneg_PCA_15721472,-1.0045054311616886,0.3160835711677072,ns
Batch_1,1,2,S_HER2_Immune_PCA_18006808,-1.1642147287144868,0.24542083255590524,ns
Batch_1,1,2,S_IR7_score,-0.679989736936118,0.49712540447198683,ns
Batch_1,1,2,S_Buck14_score,-1.0332368288801517,0.3024681764129159,ns
