Batch,SNVNeo_Count_1,SNVNeo_Count_2,Metric,T-Statistic,P-Value,Significance
Batch_2,1,2,S_CSF1_response,0.32193831731454275,0.7479830774180932,ns
Batch_2,1,2,S_TcClassII_score,0.43994768289910774,0.6606583073076748,ns
Batch_2,1,2,S_IL12_score_21050467,0.515852700133236,0.6067768563058954,ns
Batch_2,1,2,S_IL4_score_21050467,2.6247959664132328,0.009640175385322709,*
Batch_2,1,2,S_IL2_score_21050467,1.7220846839357649,0.0872785568680177,ns
Batch_2,1,2,S_IL13_score_21050467,1.2686326629228808,0.20669256967139238,ns
Batch_2,1,2,S_IFNG_score_21050467,0.7851597625583978,0.4336961198287933,ns
Batch_2,1,2,S_TGFB_score_21050467,0.7607968192222202,0.4480671086921819,ns
Batch_2,1,2,S_TREM1_data,-0.922622349770578,0.3578027506949404,ns
Batch_2,1,2,S_DAP12_data,-0.542844794630626,0.5881060456352588,ns
Batch_2,1,2,S_Tcell_receptors_score,0.9062572641759695,0.3663679907561054,ns
Batch_2,1,2,S_IL8_21978456,1.1993479703302525,0.23243312609365227,ns
Batch_2,1,2,S_IFN_21978456,0.07954271587778024,0.9367153592408217,ns
Batch_2,1,2,S_MHC1_21978456,1.2054457408716848,0.23007936446316007,ns
Batch_2,1,2,S_MHC2_21978456,0.23994476538225354,0.8107265641529324,ns
Batch_2,1,2,S_Bcell_21978456,1.4512214745932484,0.14897133611861973,ns
Batch_2,1,2,S_Tcell_21978456,1.0726559429121818,0.2852842612353,ns
Batch_2,1,2,S_CD103pos_mean_25446897,2.319742976339138,0.021811496476912648,*
Batch_2,1,2,S_CD103neg_mean_25446897,0.17734309556693126,0.8594970658253374,ns
Batch_2,1,2,S_IgG_19272155,1.335070457223216,0.18403571562581988,ns
Batch_2,1,2,S_Interferon_19272155,0.15524060416219787,0.8768568442066148,ns
Batch_2,1,2,S_LCK_19272155,0.8438735184629403,0.4001900391478921,ns
Batch_2,1,2,S_MHC.I_19272155,1.1003865023025883,0.2730657624106915,ns
Batch_2,1,2,S_MHC.II_19272155,0.10020055624393427,0.9203294810694684,ns
Batch_2,1,2,S_STAT1_19272155,-0.5302005750326597,0.5968188323027479,ns
Batch_2,1,2,S_Troester_WoundSig_19887484,1.3638218536915971,0.17482813320166293,ns
Batch_2,1,2,S_MDACC.FNA.1_20805453,1.2856915990566884,0.20068851231219093,ns
Batch_2,1,2,S_IGG_Cluster_21214954,1.418282307893769,0.15834646811558664,ns
Batch_2,1,2,S_Minterferon_Cluster_21214954,0.1460255481983869,0.8841127768965231,ns
Batch_2,1,2,S_Immune_cell_Cluster_21214954,0.37624900237154874,0.7073054549000011,ns
Batch_2,1,2,S_MCD3_CD8_21214954,1.4324442499613206,0.15426178645730504,ns
Batch_2,1,2,S_Interferon_Cluster_21214954,0.2089520289522951,0.8347915903091272,ns
Batch_2,1,2,S_B_cell_PCA_16704732,1.6652391862106577,0.09811739174502818,ns
Batch_2,1,2,S_CD8_PCA_16704732,0.598967048237469,0.5501697857194778,ns
Batch_2,1,2,S_GRANS_PCA_16704732,0.11567609716960661,0.9080761975914577,ns
Batch_2,1,2,S_LYMPHS_PCA_16704732,0.08089852939035645,0.935639014362057,ns
Batch_2,1,2,S_T_cell_PCA_16704732,1.2904947224742425,0.19902144761310075,ns
Batch_2,1,2,S_TGFB_PCA_17349583,0.8806388573521858,0.3800334278133053,ns
Batch_2,1,2,S_Rotterdam_ERneg_PCA_15721472,0.8910106118941128,0.3744631703811775,ns
Batch_2,1,2,S_HER2_Immune_PCA_18006808,1.0533394831793255,0.29401302483803177,ns
Batch_2,1,2,S_IR7_score,0.9450788158047401,0.34625855465847166,ns
Batch_2,1,2,S_Buck14_score,0.7043996743172032,0.48236240042723977,ns
Batch_2,1,2,S_TAMsurr_score,-0.9731306373403725,0.33217880240307185,ns
Batch_2,1,2,S_Immune_NSCLC_score,0.8571299964141177,0.39284841231549117,ns
Batch_2,1,2,S_Module3_IFN_score,-0.08494454298984601,0.9324277045956109,ns
Batch_2,1,2,S_Module4_TcellBcell_score,1.185473332207957,0.23785302666599986,ns
Batch_2,1,2,S_Module5_TcellBcell_score,0.48483703727804023,0.6285551288813835,ns
Batch_2,1,2,S_Module11_Prolif_score,-2.468922392946701,0.014764432270996091,*
Batch_2,1,2,S_CD8_CD68_ratio,0.827071284765919,0.409614233654496,ns
Batch_2,1,2,S_TAMsurr_TcClassII_ratio,0.11616578283405798,0.9076888172774822,ns
Batch_2,1,2,S_CHANG_CORE_SERUM_RESPONSE_UP,-2.890704966300132,0.004461731377899249,*
Batch_2,1,2,S_CSR_Activated_15701700,-1.407787304044918,0.16142653570421667,ns
Batch_2,1,2,S_B_cells,1.9458319035298723,0.0536926531581371,ns
Batch_2,1,2,S_T_cells,1.0735497310095528,0.284884706527134,ns
Batch_2,1,2,S_T_helper,-0.18729372467266014,0.8517034548225585,ns
Batch_2,1,2,S_Tcm,-0.12165443812602493,0.9033483941563962,ns
Batch_2,1,2,S_Tem,1.7596546380787346,0.08066635030626039,ns
Batch_2,1,2,S_Th1,0.016140301067468565,0.9871456061327029,ns
Batch_2,1,2,S_Th2,-1.0365798309478302,0.3017316493648855,ns
Batch_2,1,2,S_TFH,3.182637017800434,0.0018008362421993009,*
Batch_2,1,2,S_CD8_Tcells,0.9423298184896657,0.34765871185455366,ns
Batch_2,1,2,S_Th17,0.7018878663950237,0.48392268851245634,ns
Batch_2,1,2,S_Treg,0.9158150137428919,0.3613500192404042,ns
Batch_2,1,2,S_Tgd,1.4141172666213098,0.15956339542595221,ns
Batch_2,1,2,S_Cytotoxic_cells,0.7257804688408461,0.4691936028294307,ns
Batch_2,1,2,S_NK_cells,2.9622516997233026,0.0035933015013183828,*
Batch_2,1,2,S_NK_cd56dim,0.5831823849127465,0.5607155209378654,ns
Batch_2,1,2,S_NK_cd56bright,0.8963172487244295,0.37163302310384516,ns
Batch_2,1,2,S_DC,1.480851986307186,0.14090921615700663,ns
Batch_2,1,2,S_iDC,2.2459167027438336,0.026287066305860893,*
Batch_2,1,2,S_aDC,0.8233777687165026,0.4117036374586942,ns
Batch_2,1,2,S_pDC,2.164755313232247,0.03211399990919172,*
Batch_2,1,2,S_Eosinophils,1.3483823697444006,0.17972844073217087,ns
