,target_name,train_r2,test_r2,train_rmse,test_rmse,train_mae,test_mae,best_max_depth,best_min_samples_split,best_n_estimators
S_CD68,S_CD68,0.33326453399273315,-0.16077299144876744,0.08893106145784194,0.13512996085327839,0.05178415179865123,0.0841432977886266,10.0,10,200
S_CD8A,S_CD8A,0.5949515431719118,0.06570782538982434,0.038486237709321025,0.057434945554490975,0.03085031365807867,0.04494988207726571,10.0,10,100
S_PD1_data,S_PD1_data,0.45155656909066644,-0.08682897378303411,0.05711542325808885,0.09538455330480916,0.03126240041233141,0.050437993587504046,10.0,10,100
S_PDL1_data,S_PDL1_data,0.596232799666222,0.03353018089170001,0.025837056445064167,0.03821765073961656,0.018669593517528865,0.027296350928692897,10.0,10,300
S_PD1_PDL1_score,S_PD1_PDL1_score,0.5939058311935601,-0.03568076725112146,0.032112310157803754,0.05457035013522585,0.022493616298420047,0.035709189715972416,10.0,10,300
S_CTLA4_data,S_CTLA4_data,0.5637859201991116,0.0442741644443998,0.04133687823478289,0.06070747213059743,0.02766023328200445,0.041049766011940526,10.0,10,300
S_Bcell_mg_IGJ,S_Bcell_mg_IGJ,0.5743526184340679,-0.017113190395092515,0.04353630821927041,0.07174196826240055,0.03446153149197295,0.05401427136259888,10.0,10,200
S_Bcell_receptors_score,S_Bcell_receptors_score,0.6522864385283871,0.07653044570661827,0.02188806007554113,0.035103380583585246,0.017403040803416436,0.027167368196597912,10.0,10,200
S_STAT1_score,S_STAT1_score,0.6245423028025768,0.05064783172776455,0.020100990556463135,0.03165044412637076,0.016378996738942362,0.024667607880348424,10.0,10,300
S_CSF1_response,S_CSF1_response,0.641433479009395,0.1041988649641501,0.018067050235974418,0.02705358971420887,0.014628563158932444,0.021764080586761967,10.0,10,300
S_TcClassII_score,S_TcClassII_score,0.6328750837441075,0.06729086047276167,0.021331543503872345,0.034601488664465344,0.01695310114197598,0.025443469118006438,10.0,10,300
S_IL12_score_21050467,S_IL12_score_21050467,0.6304187617013237,0.15041372153923305,0.01973864920610416,0.028338913439971025,0.01588701646573678,0.022672099126460066,10.0,10,300
S_IL4_score_21050467,S_IL4_score_21050467,0.5671137035964207,0.0621853487938574,0.011298815145477066,0.01719846860802525,0.009270190278695417,0.013927911321699047,10.0,10,200
