Batch,SNVNeo_Count_1,SNVNeo_Count_2,Metric,T-Statistic,P-Value,Significance
Batch_2,1,2,S_Attractors_G_GIMAP4,1.7939938193917484,0.07414493683365395,ns
Batch_2,1,2,S_Attractors_G_HLA.DPA1,1.3454085998597416,0.17983571951104707,ns
Batch_2,1,2,S_Attractors_G_SLAMF6,0.9845884192926989,0.32587453427594604,ns
Batch_2,1,2,S_Attractors_G_LILRB4,0.8028107597814322,0.42292386363943213,ns
Batch_2,1,2,S_Attractors_G_SIGLEC9,0.605449688436931,0.5454850769116595,ns
Batch_2,1,2,S_Attractors_G_CYTH4,2.1090172153580258,0.03603894741158878,*
Batch_2,1,2,S_Attractors_G_CD3E,1.0418289497837152,0.298599288835875,ns
Batch_2,1,2,S_Lymph_Vessels,1.3300467908543037,0.1848376511145785,ns
Batch_2,1,2,S_ICR_SCORE,-0.6999047341895513,0.48470344521753916,ns
Batch_2,1,2,S_ICR_INHIB_SCORE,-0.6161581288402742,0.5384075260353691,ns
Batch_2,1,2,S_ICR_ACT_SCORE,-0.6794546536308741,0.4975420709663716,ns
Batch_2,1,2,S_Angiogenesis,3.119152490561164,0.002048563607026478,*
Batch_2,1,2,S_APM1,0.22798400232880248,0.8198639014400582,ns
Batch_2,1,2,S_APM2,0.8963445278352672,0.3710183479589715,ns
Batch_2,1,2,S_ICS5_score,0.5483883163185804,0.5839642068017399,ns
Batch_2,1,2,S_LIexpression_score,0.980914250242126,0.3276793090318858,ns
Batch_2,1,2,S_Chemokine12_score,0.21532404469635036,0.8297080204970988,ns
Batch_2,1,2,S_NHI_5gene_score,0.761871135283968,0.4469277528881451,ns
Batch_2,1,2,S_CD68,1.0146400067388583,0.3113576976696037,ns
Batch_2,1,2,S_CD8A,0.1319259884961325,0.8951596896376619,ns
Batch_2,1,2,S_PD1_data,-0.40945617243176274,0.6825910192629472,ns
Batch_2,1,2,S_PDL1_data,0.07434739656099613,0.940799438862729,ns
Batch_2,1,2,S_PD1_PDL1_score,-0.5720666918067191,0.567842869891571,ns
Batch_2,1,2,S_CTLA4_data,-0.2573287837205023,0.797158082099401,ns
Batch_2,1,2,S_Bcell_mg_IGJ,1.695460735592346,0.09135916466027968,ns
Batch_2,1,2,S_Bcell_receptors_score,1.583744753059023,0.11464397854682011,ns
Batch_2,1,2,S_STAT1_score,0.8708314745171365,0.3847661775881307,ns
Batch_2,1,2,S_CSF1_response,1.3197343595909536,0.18825313019952752,ns
Batch_2,1,2,S_TcClassII_score,0.4896798118467993,0.6248333685628101,ns
Batch_2,1,2,S_IL12_score_21050467,0.1933807975951602,0.8468336726957904,ns
Batch_2,1,2,S_IL4_score_21050467,2.750062379554151,0.0064385856028702365,*
Batch_2,1,2,S_IL2_score_21050467,1.3090164893024858,0.1918523296798095,ns
Batch_2,1,2,S_IL13_score_21050467,1.6425194861961034,0.10186689456204782,ns
Batch_2,1,2,S_IFNG_score_21050467,0.427212360100129,0.6696296006201532,ns
Batch_2,1,2,S_TGFB_score_21050467,2.233109852161614,0.02651741660139194,*
Batch_2,1,2,S_TREM1_data,-1.5624860313068234,0.11956654913036088,ns
Batch_2,1,2,S_DAP12_data,0.6204431380439009,0.5355884726572824,ns
Batch_2,1,2,S_Tcell_receptors_score,0.7900013232441331,0.43035146390357126,ns
Batch_2,1,2,S_IL8_21978456,-0.017948483163366162,0.985695716890292,ns
Batch_2,1,2,S_IFN_21978456,1.1199136412409085,0.263934087076317,ns
Batch_2,1,2,S_MHC1_21978456,1.184716891488405,0.23736828312115651,ns
Batch_2,1,2,S_MHC2_21978456,0.9592661842072148,0.33844526630237115,ns
Batch_2,1,2,S_Bcell_21978456,1.632174493837045,0.10402914164585415,ns
Batch_2,1,2,S_Tcell_21978456,1.261528003242702,0.2084134805303961,ns
Batch_2,1,2,S_CD103pos_mean_25446897,2.9264301623604605,0.0037771458496529257,*
Batch_2,1,2,S_CD103neg_mean_25446897,2.594375709332547,0.010093220377847614,*
Batch_2,1,2,S_IgG_19272155,1.5449767099564486,0.12374483883483717,ns
Batch_2,1,2,S_Interferon_19272155,1.2691754170608176,0.20567825287865857,ns
Batch_2,1,2,S_LCK_19272155,1.2314035834118453,0.21944616426745123,ns
Batch_2,1,2,S_MHC.I_19272155,0.86153017090638,0.38985524775172464,ns
Batch_2,1,2,S_MHC.II_19272155,1.3023164716512035,0.19412801247211214,ns
Batch_2,1,2,S_STAT1_19272155,-0.6567518254998278,0.5120057553323956,ns
Batch_2,1,2,S_Troester_WoundSig_19887484,2.30954187932459,0.021812212580461912,*
Batch_2,1,2,S_MDACC.FNA.1_20805453,1.9085032656283494,0.05758766290557393,ns
Batch_2,1,2,S_IGG_Cluster_21214954,1.6899292146565486,0.09241428909101713,ns
Batch_2,1,2,S_Minterferon_Cluster_21214954,0.6773953646257405,0.49884492594482344,ns
Batch_2,1,2,S_Immune_cell_Cluster_21214954,0.7149977963316908,0.47534510037139444,ns
