Batch,FusNeo_Count_1,FusNeo_Count_2,Metric,T-Statistic,P-Value,Significance
Batch_2,1,2,ESTIMATE,-1.1126107547780946,0.26705249798257635,ns
Batch_2,1,2,IMPRES,-1.954593414493656,0.051858796176141496,ns
Batch_2,1,2,C_Bcellsnaive,-0.512902537395144,0.6085182574709229,ns
Batch_2,1,2,C_Bcellsmemory,-0.4828710474191077,0.6296526536291914,ns
Batch_2,1,2,C_Plasmacells,-2.852372230042187,0.004739945949711321,*
Batch_2,1,2,C_TcellsCD8,-1.5809906699236238,0.11527250193036327,ns
Batch_2,1,2,C_TcellsCD4naive,0.3091837859845023,0.7574653254510632,ns
Batch_2,1,2,C_TcellsCD4memoryresting,-0.6116296352614574,0.5413948862431639,ns
Batch_2,1,2,C_TcellsCD4memoryactivated,-0.8712612000744351,0.3845320520633152,ns
Batch_2,1,2,C_Tcellsfollicularhelper,-0.2774630218107949,0.7816771167029068,ns
Batch_2,1,2,C_Tcellsregulatory(Tregs),0.12821402760278586,0.8980931155420093,ns
Batch_2,1,2,C_Tcellsgammadelta,1.5947498742525013,0.11215949807046935,ns
Batch_2,1,2,C_NKcellsresting,-0.06475138465528138,0.9484289356620501,ns
Batch_2,1,2,C_NKcellsactivated,0.034546474867139756,0.9724717410661634,ns
Batch_2,1,2,C_Monocytes,-1.7666909254317935,0.07862387706509588,ns
Batch_2,1,2,C_MacrophagesM0,0.1704680643667627,0.8647938862416678,ns
Batch_2,1,2,C_MacrophagesM1,-2.4090047765393994,0.01679393477473707,*
Batch_2,1,2,C_MacrophagesM2,1.261084144986649,0.20857304508526883,ns
Batch_2,1,2,C_Dendriticcellsresting,2.5158967012290834,0.012564712343128248,*
Batch_2,1,2,C_Dendriticcellsactivated,-2.0618958557680562,0.04035634313029952,*
Batch_2,1,2,C_Mastcellsresting,2.1155199016415374,0.03547545549585974,*
Batch_2,1,2,C_Mastcellsactivated,1.1841059171000017,0.23760953106135652,ns
Batch_2,1,2,C_Eosinophils,0.4975514953353959,0.6192818136143247,ns
Batch_2,1,2,C_Neutrophils,0.017617417895039584,0.9859595360989486,ns
Batch_2,1,2,S_Attractors_LYM,-1.3733544557581197,0.17099709159412427,ns
Batch_2,1,2,S_Attractors_IFIT3,-1.0628222589734717,0.2889919084792357,ns
